Doha,English Translation,Meaning
"कबीरा साधु से करि दोस्ती, तब हरि से करि दोस्ती।\nहरि तो रामा नगर में, साधु ही पहिरिया होस्ती।।","Kabir, befriend a saint, then befriend God. God is in the city of Rama, and the saint is the gatekeeper.","Kabir emphasizes the importance of forming a close relationship with a saint, who can guide us on our spiritual journey. He likens the saint to a gatekeeper of the divine city, suggesting that connecting with a spiritual guide is the key to accessing the divine presence. This doha encourages us to seek the guidance and wisdom of spiritual teachers in our pursuit of spiritual growth and understanding."
"कबीरा सब जग जलता है, जगत सब साधु लौटै।\nसाधु का मारग कठिन है, जो जाए वह सो जात।।","Kabir, the whole world is burning, while the world shuns the saints. The path of the saint is difficult; whoever goes there succeeds.","Kabir observes that the world is suffering and engulfed in the flames of material desires, while true saints are often disregarded or shunned. He acknowledges that the path of a saint is challenging, but those who dare to walk it achieve success in their spiritual journey. This doha encourages us to embrace the challenges of the spiritual path and seek the guidance of true saints."
"कबीरा सब जग निंदक है, सब कोई सुखदाता।\nजो सुख को देखि चलत है, ताके पीछे जात दुःखदाता।।","Kabir, the whole world is a critic, everyone seeks happiness. Whoever follows happiness, the giver of sorrow follows behind.","Kabir points out that people in the world are often critical and preoccupied with seeking their own happiness. He warns that by constantly pursuing happiness, we may inadvertently invite sorrow and suffering into our lives. This doha encourages us to cultivate an attitude of contentment and inner peace, rather than focusing solely on external sources of happiness."
"कबीरा सब कुछु होता है, अवघट घटा माहि।\nसाधु सँगति कहु न मिलै, यह मरमा समाहि।।","Kabir, everything is possible in this mysterious world. But it's hard to find the company of saints, this is the secret to understand.","Kabir acknowledges the unpredictability and mystery of the world, where many things can happen. However, he emphasizes the rarity and value of finding the company of true spiritual seekers (satsang). This doha suggests that the secret to understanding life's deeper meaning and purpose lies in associating with wise and spiritually realized individuals."
"कबीरा संत न छोड़ै संतैं, संत छोड़ै नाहिं।\nजब लगि संत न छोड़ै कंतैं, तब लगि केसर कुँवारै जाहिं।।","Kabir, the saint does not abandon his devotees, and the devotees do not abandon the saint. As long as the saint does not leave the devotee, even the saffron remains unblemished.","Kabir emphasizes the unwavering loyalty and bond between a saint and their devotees. He suggests that as long as the saint continues to guide and support the devotee, the devotee's spiritual purity remains intact, just as saffron remains unblemished. This doha highlights the importance of maintaining a strong connection with a spiritual guide to preserve one's spiritual integrity."
"कबीरा सुमिरन सब काज, सब काज सँगति सत।\nसब काज सँगति सदा, तब काज होत सब काज।।","Kabir, remembrance is everything, everything is in the company of truth. Everything is in the company of truth always, only then everything is accomplished.","Kabir asserts the importance of remembering the divine and the role it plays in one's life. He emphasizes that the company of truth (satsang) is the key to accomplishing all tasks and attaining spiritual success. This doha encourages us to seek the company of like-minded spiritual seekers and keep the divine in our thoughts, as it will lead to success in all aspects of life."
"कबीरा सुनो भाई साधो, इस जग की मिट्टी बोर।\nजहाँ साधु न पग धरे, तहाँ ठग बैठे छोर।।","Kabir, listen, my saintly brother, the soil of this world is barren. Where the saint's feet do not tread, there sit the deceivers and thieves.","Kabir warns of the spiritual barrenness of the world and the presence of deceitful individuals who prey on the innocent. He stresses the importance of seeking the company of true saints, who bring spiritual nourishment and protection. This doha encourages us to be discerning in our associations and to prioritize the company of genuine spiritual seekers."
"कबीरा सुनो भाई साधो, काम धंधा देखि बूझ।\nजब लगि नहिं सोई जागै, तब लगि काज सब कुछू ढूँढ।।","Kabir, listen, my saintly brother, observe and understand the worldly affairs. Until one does not awaken from sleep, they will continue to seek out all sorts of tasks.","Kabir urges spiritual seekers to be observant and discerning of the worldly affairs that surround them. He emphasizes the importance of awakening from the slumber of ignorance and realizing the true purpose of life. Until we awaken to our spiritual nature, we will continue to be entangled in the never-ending pursuit of worldly tasks. This doha encourages us to strive for spiritual awakening and to understand the true essence of our existence."
"कबीरा सुनो भाई साधो, राम नाम का साँचा।\nकांचा राम नाम का, साँचा मोहि लगता।।","Kabir, listen, my saintly brother, the name of Ram is genuine. The unrefined name of Ram seems genuine to me.","Kabir highlights the power and authenticity of the divine name, specifically the name of Ram. He suggests that even in its unrefined form, the name of Ram holds deep spiritual significance and truth. This doha encourages us to recite and remember the divine name, as it can lead to spiritual awakening and inner transformation."
"कबीरा तेरी जतना कारी, जगत जुआरि जुआर।\nजुआरी संगति तेरी जतना, तू जुआरि जुआर।।","Kabir, you strive so hard, but the world is a gambler. Your association with the gambler makes you a gambler too.","Kabir comments on the futility of worldly pursuits and the influence of negative associations. The world is likened to a gambler, and by associating with it, one becomes a gambler as well. This doha encourages us to be mindful of the company we keep and to seek the company of spiritually uplifting individuals, avoiding those who might lead us astray."
"कबीरा तीरथ नावा जौ करे, जम का डर न जाय।\nदिल की धोती धोय के, बहुत कीजै दान।।","Kabir, if one goes on pilgrimage and bathes at holy places, the fear of death does not go away. Cleanse the heart's cloth, and perform much charity.","Kabir emphasizes that mere ritualistic practices, like visiting holy places and bathing in sacred waters, do not bring liberation from the cycle of birth and death. True spiritual progress involves cleansing the heart of impurities and engaging in acts of selfless service and charity. This doha reminds us to focus on inner transformation and genuine acts of kindness, rather than relying solely on external rituals."
"कबीरा तोही जानत है, तोही जानत हर।\nजगत जानत जानत नहीं, तोही जानत दर।।","Kabir, only you know yourself, and only God knows you. The world does not truly know you, only you know the door.","Kabir highlights the importance of self-awareness and the limitations of worldly knowledge. He suggests that only an individual can truly know themselves, and only God has complete knowledge of that individual. The world, however, cannot truly understand anyone's inner nature. This doha encourages introspection and the cultivation of a personal connection with the divine, as these are the keys to unlocking our true selves."
"कबीरा तुम न चेतही रे, मन अनचेता होय।\nजब चेति चेति चेतना, तब चेति न होय।।","Kabir, you do not pay attention, your mind is inattentive. When you will try to pay attention, then attention will not be there.","Kabir warns of the consequences of not being mindful and attentive in life. He suggests that when we finally try to focus our minds, it may be too late, and we may struggle to find the presence of mind we desire. This doha encourages us to cultivate mindfulness and attentiveness in our daily lives, as they are essential for both our worldly and spiritual well-being."
"कबीरा तुम सोचत हैं, निमिष की मिट्टी काज।\nसोचत सोचत सोचना, जाय गया अवसाद।।","Kabir, you think of the momentary soil's work. While thinking and thinking, the time of happiness has passed.","Kabir points out the human tendency to get lost in worries and concerns about transient worldly matters. He suggests that by constantly dwelling on these fleeting issues, we end up missing out on the opportunities for happiness and joy in our lives. This doha encourages us to focus on the present moment and to recognize the impermanence of worldly affairs, allowing us to better appreciate the happiness that life has to offer."
